title,slug,date,summary,tags,status,type
iPod现代使用指北,如何使用,"December 17, 2023",虽然历经10年风雨，iPod nano在现在仍是一款富有美感的播放器，但在使用方面，却需要更modern的方式,"Method-share, Tool",Draft,Post
2023年物竞外出培训—杭州行,2023-Hangzhou-Travelling,"July 27, 2023",过去的18天，在忙碌与摆烂的微妙平衡之间，我在杭州度过了一段美好的时光,"Study, Travelling",Published,Post
写给16岁的自己,To-My-16-Year-Old-Self,"April 15, 2023",今天是上高中的第一个生日，但是想写篇博客发发牢骚,"Random-thought, Study",Published,Post
2022湖南之旅,2022-Hunan-Travelling,"July 22, 2022",2022年暑假我开始了湖南之旅,Travelling,Published,Post
初中生活总结,Summary-Of-Junior-High-School-Life,"June 28, 2022",初中生活就这样结束了，回首过去三年，还是有很多可以聊的（吐槽）,"Random-thought, Study, Summary",Published,Post
树莓派NAS搭建,How-To-Build-A-RPI-NAS-Server,"February 3, 2022",树莓派NAS搭建（踩坑）记录,"ArozOS, DIY, Raspberry Pi",Published,Post
树莓派 ArozOS 指北,ArozOS-RPI-Tutorial,"October 22, 2021",这是一篇关于ArozOS的原创文章，请细细食用😄,"ArozOS, Golang, Raspberry Pi, Web",Published,Post
About,about,,,,Published,Page
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,